0,2.5e-07,1.8e-06
5,2.6096e-07,1.7249e-06
10,2.8071e-07,1.2224e-06
15,2.9163e-07,1.0044e-06
30,3.1292e-07,5.7083e-07
35,3.1641e-07,5.0106e-07
40,3.2258e-07,4.105e-07
45,3.2216e-07,3.9304e-07
50,3.2852e-07,3.4721e-07
55,3.2623e-07,3.1491e-07
60,3.2685e-07,2.952e-07
75,3.2929e-07,1.9342e-07
80,3.3209e-07,1.8065e-07
95,3.3611e-07,1.102e-07
100,3.3576e-07,1.0907e-07
105,3.3601e-07,1.0416e-07
110,3.3418e-07,7.4384e-08
115,6.2466e-08,6.7813e-08
120,5.8992e-08,5.8359e-08
125,6.1617e-08,3.4416e-08
135,7.6718e-08,4.972e-09
140,6.121e-08,1.906e-10
145,6.7038e-08,2.09e-10
150,6.7024e-08,4.94e-10
155,6.2654e-08,1.558e-10
160,6.415e-08,6.86e-11
165,6.2724e-08,9.032e-10
170,6.3474e-08,2.31e-10
175,6.3495e-08,2.456e-10
180,6.2516e-08,7.13e-10
185,6.381e-08,5.76e-11
190,6.3673e-08,8.28e-10
