0,1,5.5001e-06,5.5001e-06,2.7637e-05,0.00014062,0.00013692,1.7332,99.304
0,2,1.65e-05,5.5001e-06,-3.5437e-07,0.00011707,0.00011284,1.4209,81.41
5,3,5.625e-06,5.5e-06,-0.0005536,0.0040084,0.0040418,1.432,82.047
5,4,1.6875e-05,5.5e-06,4.241e-06,9.3928e-05,8.9326e-05,1.4289,81.869
10,5,5.52e-06,5.5001e-06,2.7953e-05,0.00014614,0.00014242,1.729,99.063
10,6,1.748e-05,5.5001e-06,-4.715e-06,0.00014983,0.00014603,1.4182,81.258
15,7,5.5292e-06,5.5001e-06,-0.00021213,0.001213,0.001227,1.3925,79.782
15,8,1.7971e-05,5.5001e-06,0.0020287,0.010953,0.011131,1.7524,100.41
30,9,5.5557e-06,5.5001e-06,4.1512e-05,0.00021728,0.00021481,1.739,99.636
30,10,1.9444e-05,5.5001e-06,0.086436,0.37366,0.38352,1.7981,103.02
35,11,5.5634e-06,5.5001e-06,1.1131e-05,2.1039e-05,1.6506e-05,1.9148,109.71
35,12,1.9937e-05,5.5001e-06,-7.3083e-07,6.7734e-05,6.5576e-05,1.2502,71.629
40,13,5.4735e-06,5.5001e-06,0.00085512,0.0019521,0.0021239,1.9823,113.58
40,14,2.0527e-05,5.5001e-06,-0.00018683,0.0005169,0.00055184,1.1856,67.929
45,15,5.5787e-06,5.5001e-06,1.9258e-05,6.6847e-05,6.2854e-05,1.7902,102.57
45,16,2.0921e-05,5.5001e-06,0.011368,0.04417,0.045599,1.8223,104.41
50,17,5.5864e-06,5.5001e-06,1.4534e-05,4.473e-05,4.0237e-05,1.795,102.85
50,18,2.1414e-05,5.5001e-06,0.0035671,0.014289,0.014717,1.8141,103.94
55,19,5.593e-06,5.5001e-06,1.8132e-05,5.9428e-05,5.5366e-05,1.7993,103.09
55,20,2.1907e-05,5.5001e-06,0.031658,0.13897,0.14252,1.7946,102.83
60,21,5.6002e-06,5.5001e-06,0.0019155,0.0042965,0.0046968,1.9896,113.99
60,22,2.24e-05,5.5001e-06,0.00048336,0.0047453,0.0047622,1.6677,95.555
75,23,5.5312e-06,5.5001e-06,0.00014155,0.00032371,0.00034606,1.9747,113.14
75,24,2.3969e-05,5.5001e-06,-1.7584e-05,0.00011126,0.00011363,1.1964,68.55
80,25,5.5384e-06,5.5001e-06,-0.0042669,0.0098052,0.010691,1.1597,66.444
80,26,2.4461e-05,5.5001e-06,0.0089979,0.022149,0.023893,1.9558,112.06
95,27,5.5588e-06,5.5001e-06,3.7293e-05,9.4112e-05,9.4123e-05,1.9147,109.7
95,28,2.5941e-05,5.5001e-06,0.11591,0.32024,0.34056,1.918,109.89
100,29,5.5654e-06,5.5001e-06,-0.0064849,0.015477,0.016778,1.1736,67.241
100,30,2.6434e-05,5.5001e-06,-1.703e-06,8.2476e-05,8.1957e-05,1.2204,69.921
105,31,5.5716e-06,5.5001e-06,7.2345e-05,0.00017896,0.00018587,1.9383,111.05
105,32,2.6928e-05,5.5001e-06,0.00059136,0.0013104,0.0014217,1.979,113.39
110,33,5.4214e-06,5.5001e-06,0.0019062,0.0021987,0.0029023,2.2849,130.91
110,34,2.7579e-05,5.5001e-06,0.092689,0.10561,0.14049,2.291,131.26
115,35,5.5833e-06,5.5001e-06,-0.00044016,0.00095785,6.3058e-08,0.46719,26.768
115,36,2.7916e-05,5.5001e-06,2.7976e-05,5.4905e-06,7.3169e-08,2.8462,163.08
